                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.089165,               0.052976,               0.047497,                      0,                0.48203,                 0.4809,                 0.4598,                0.17805,                0.53399,                0.49588,                0.50006,                0.27957,               0.062837,               0.024953,               0.035863,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.061237,               0.030991,               0.041708,                      0,                0.64697,                0.49288,                0.59552,                0.23568,                0.65096,                0.51573,                0.60878,                0.38871,               0.055494,               0.025038,               0.034049,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.056498,                0.03022,               0.039291,                      0,                0.60272,                 0.5794,                 0.5721,                0.25627,                0.60155,                0.57828,                0.57436,                0.34082,               0.052205,                0.02827,               0.037059,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.050794,               0.030869,               0.039179,                      0,                0.77356,                0.64719,                0.71048,                 0.3657,                0.77446,                0.64794,                0.70913,                0.44551,                 0.0437,               0.027033,               0.037369,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.045482,               0.029999,               0.038808,                      0,                0.80769,                0.71273,                0.80034,                0.42769,                0.80641,                0.70749,                0.79455,                0.49834,                0.04051,               0.023074,               0.033548,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.043825,               0.028569,               0.037787,                      0,                 0.8088,                0.73986,                0.80574,                0.42728,                0.81044,                0.74136,                0.80281,                0.50349,               0.038664,               0.021889,               0.034009,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.041693,               0.027714,                0.03762,                      0,                0.83029,                0.76067,                0.83502,                0.47345,                 0.8307,                0.76105,                0.82521,                0.53531,               0.036286,               0.021799,               0.031305,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.039996,               0.027229,               0.037454,                      0,                0.79343,                0.71723,                0.78948,                0.46667,                0.80494,                0.70321,                0.77847,                0.46807,               0.035733,               0.021823,               0.034087,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.038871,               0.026929,               0.037759,                      0,                0.81945,                0.77528,                0.84681,                0.52435,                0.82426,                0.75094,                0.82963,                0.51505,               0.033058,               0.021643,                0.03126,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.037565,               0.026479,               0.034827,                      0,                0.81926,                0.77978,                0.83936,                0.52513,                0.82323,                0.76048,                0.82596,                0.50852,               0.032616,               0.020847,               0.030839,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.037349,               0.026086,               0.035417,                      0,                0.82727,                0.75875,                0.83055,                0.51434,                0.82674,                0.75169,                0.82123,                0.53821,               0.032165,               0.020553,               0.030735,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.036659,               0.025351,               0.034728,                      0,                0.82222,                0.76966,                0.84149,                0.54681,                 0.8149,                 0.7573,                0.82681,                0.54843,                0.03054,               0.020165,                0.03103,                      0,                0.00967,                0.00967,                0.00967
                     12,               0.035767,               0.025013,               0.034303,                      0,                0.82349,                0.77409,                0.84086,                0.55008,                0.81892,                0.76392,                0.83154,                0.54101,               0.029597,               0.019619,               0.030565,                      0,               0.009637,               0.009637,               0.009637
                     13,               0.035291,               0.024679,               0.034591,                      0,                0.81181,                0.80337,                0.84917,                0.55261,                0.80992,                 0.8015,                0.84571,                0.56476,               0.029881,               0.019648,               0.030181,                      0,               0.009604,               0.009604,               0.009604
