                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12133,               0.092962,               0.029706,               0.048353,              0.0012369,               0.088633,             0.00095404,             0.00024389,              0.0023872,                0.19504,              0.0022931,              0.0007062,                0.11214,               0.061609,               0.034526,               0.046032,               0.067212,              0.0003312,              0.0003312
                      1,                 0.1002,               0.048725,               0.032838,               0.042987,                0.33424,               0.081086,               0.036918,               0.011268,                0.33753,               0.089151,               0.046754,               0.021229,               0.083547,               0.036789,               0.041816,               0.041063,               0.034209,             0.00066234,             0.00066234
                      2,               0.079755,               0.035304,               0.034667,               0.038166,                0.33807,                0.10355,               0.070164,                0.02253,                0.34115,                0.11104,               0.080692,               0.049021,               0.067613,               0.028628,               0.041214,                0.03766,               0.001205,             0.00099128,             0.00099128
                      3,               0.066854,                0.02968,               0.032448,               0.035713,                0.36582,                0.30111,                0.10592,               0.049693,                0.36623,                0.30983,                0.11169,                0.06626,               0.058379,               0.026453,                0.03804,               0.035798,              0.0009901,              0.0009901,              0.0009901
                      4,               0.059899,               0.027137,               0.030928,               0.033744,                0.42729,                0.25376,                0.14329,                0.06004,                0.43367,                 0.2668,                0.15838,               0.086678,               0.050921,               0.025062,                0.03606,               0.034764,              0.0009901,              0.0009901,              0.0009901
                      5,               0.054186,               0.026303,               0.028812,               0.032219,                0.46654,                0.29472,                0.19721,               0.089756,                0.46989,                0.30785,                0.21132,                0.12446,               0.046573,               0.024227,               0.033924,               0.033508,              0.0009868,              0.0009868,              0.0009868
                      6,               0.050097,               0.024112,                 0.0269,               0.031367,                0.51057,                0.29564,                0.23632,                 0.1026,                0.51687,                0.30456,                0.24633,                0.14336,               0.043411,               0.024242,                0.03341,               0.031792,              0.0009835,              0.0009835,              0.0009835
                      7,               0.047774,               0.024523,               0.026778,               0.030424,                0.52972,                0.33412,                0.27224,                  0.131,                0.53667,                0.34099,                 0.2826,                0.15671,               0.041406,               0.022818,               0.032295,               0.030565,              0.0009802,              0.0009802,              0.0009802
                      8,               0.045258,               0.023103,               0.025364,               0.028261,                0.56599,                0.34815,                0.30198,                0.15091,                0.55912,                0.34865,                0.30002,                0.17399,                0.03977,               0.022713,               0.031322,               0.028857,              0.0009769,              0.0009769,              0.0009769
                      9,               0.044165,               0.022947,               0.024822,               0.026986,                0.59831,                0.36312,                0.33205,                0.16717,                0.59163,                0.36672,                0.32978,                0.19622,               0.038609,               0.022472,               0.031379,               0.026942,              0.0009736,              0.0009736,              0.0009736
                     10,               0.043385,               0.023084,               0.024823,               0.024591,                0.63702,                0.38847,                0.39524,                0.21205,                0.62245,                0.38284,                0.38615,                0.24249,                0.03716,               0.022437,               0.029969,               0.024667,              0.0009703,              0.0009703,              0.0009703
                     11,               0.042936,               0.022686,               0.023497,               0.023222,                0.66729,                0.41671,                0.41546,                0.22817,                0.67212,                0.39865,                0.41017,                0.24992,               0.037155,               0.022685,               0.029384,               0.022661,               0.000967,               0.000967,               0.000967
                     12,               0.041299,               0.022199,               0.023341,               0.021433,                0.70625,                0.41053,                 0.4238,                0.22658,                0.69634,                0.39647,                  0.417,                0.23812,               0.037236,               0.022659,                 0.0281,               0.020331,              0.0009637,              0.0009637,              0.0009637
                     13,               0.041292,               0.021625,               0.022312,               0.019345,                0.72931,                0.43909,                0.45752,                0.26145,                0.72875,                0.42427,                0.44919,                0.28496,               0.035262,               0.022524,               0.028918,               0.018781,              0.0009604,              0.0009604,              0.0009604
                     14,               0.040301,               0.021692,               0.022576,               0.017827,                0.73808,                0.44859,                0.46951,                0.26773,                0.74206,                0.44083,                0.46264,                0.29088,               0.035118,               0.022431,               0.028515,               0.017684,              0.0009571,              0.0009571,              0.0009571
                     15,                0.03965,               0.021738,                0.02227,               0.016537,                0.74782,                0.43224,                0.47091,                0.26865,                 0.7438,                0.42619,                0.45673,                0.28429,                0.03474,               0.021653,               0.027332,               0.015984,              0.0009538,              0.0009538,              0.0009538
                     16,               0.038694,               0.021183,               0.022288,               0.015987,                0.73232,                0.46368,                0.49056,                0.28419,                0.72029,                0.45349,                0.47714,                0.29785,               0.033964,               0.021853,               0.027616,               0.015184,              0.0009505,              0.0009505,              0.0009505
                     17,                 0.0381,               0.021151,               0.020957,               0.014931,                 0.7402,                0.47165,                0.50382,                0.30028,                 0.7388,                0.47063,                0.49904,                0.31357,               0.033482,               0.021635,               0.027596,               0.014249,              0.0009472,              0.0009472,              0.0009472
                     18,               0.037966,                0.02075,               0.021395,               0.014272,                0.73141,                0.48843,                0.49949,                0.28288,                0.72575,                0.47254,                0.48433,                0.28566,               0.034812,               0.021603,               0.027051,               0.014263,              0.0009439,              0.0009439,              0.0009439
                     19,               0.037703,                0.02015,               0.020294,               0.013761,                0.76475,                0.48884,                0.52775,                0.30803,                0.75604,                0.47188,                0.51497,                0.32599,               0.033487,               0.021892,               0.026841,               0.013567,              0.0009406,              0.0009406,              0.0009406
                     20,                0.03689,               0.020274,               0.020288,               0.013336,                0.75085,                0.49009,                0.52332,                0.30542,                0.74466,                0.47443,                0.51056,                 0.3212,               0.033182,               0.021155,               0.026609,               0.012586,              0.0009373,              0.0009373,              0.0009373
                     21,               0.036819,               0.020438,               0.020469,                0.01213,                 0.7506,                0.48778,                0.52903,                0.30398,                0.75032,                 0.4811,                0.52391,                0.34126,               0.033208,               0.020966,               0.026391,               0.012111,               0.000934,               0.000934,               0.000934
                     22,                 0.0368,               0.020619,               0.020874,               0.012095,                0.74998,                0.51288,                 0.5396,                0.33003,                0.74703,                0.50309,                0.52958,                0.34176,               0.032268,               0.021407,               0.026392,               0.012755,              0.0009307,              0.0009307,              0.0009307
                     23,                0.03594,               0.019521,               0.020067,               0.011348,                0.75752,                0.51568,                0.55979,                0.34172,                0.75949,                0.50331,                0.55183,                0.35852,               0.031996,               0.021162,                0.02615,               0.012739,              0.0009274,              0.0009274,              0.0009274
                     24,               0.035612,               0.019752,               0.019558,               0.010574,                 0.7663,                0.51203,                0.56701,                0.35214,                0.76841,                 0.4894,                0.55405,                 0.3523,               0.031201,               0.020748,               0.026416,               0.012953,              0.0009241,              0.0009241,              0.0009241
                     25,               0.035335,               0.019666,               0.019785,               0.010707,                0.77346,                0.50183,                0.55392,                0.34343,                 0.7735,                0.49322,                0.54639,                0.33582,               0.031458,               0.020625,               0.025851,               0.011473,              0.0009208,              0.0009208,              0.0009208
                     26,               0.035043,               0.019127,               0.018852,               0.010228,                0.76881,                0.46222,                0.52731,                0.31453,                0.75799,                0.45146,                0.51398,                0.31325,               0.032985,               0.022286,               0.027202,                0.01355,              0.0009175,              0.0009175,              0.0009175
                     27,               0.034715,               0.019633,                0.01937,               0.010543,                0.77484,                0.50176,                0.57018,                0.35129,                0.77025,                0.49784,                0.56122,                0.35895,               0.030633,               0.020871,               0.026125,               0.010445,              0.0009142,              0.0009142,              0.0009142
                     28,               0.034283,               0.019002,               0.019003,              0.0096694,                0.75569,                0.52687,                0.57819,                0.35905,                0.76933,                0.50688,                0.56948,                0.35305,               0.030396,               0.020679,               0.026235,               0.010669,              0.0009109,              0.0009109,              0.0009109
                     29,               0.033504,                0.01893,               0.018897,               0.008838,                0.56116,                0.61647,                0.58788,                0.36763,                0.54809,                0.59933,                0.57279,                  0.356,               0.030569,               0.020939,                0.02571,               0.010827,              0.0009076,              0.0009076,              0.0009076
                     30,               0.033183,               0.019212,                0.01866,              0.0088712,                0.64901,                0.60806,                 0.6058,                0.37446,                0.63841,                0.59613,                0.59069,                0.37752,               0.030238,               0.020437,               0.025407,               0.010043,              0.0009043,              0.0009043,              0.0009043
                     31,               0.032914,               0.018941,               0.018545,              0.0086166,                0.66356,                0.61363,                 0.6137,                0.37871,                0.65567,                0.60253,                0.60288,                0.38203,               0.029732,               0.020801,               0.025784,               0.010228,               0.000901,               0.000901,               0.000901
                     32,               0.033348,               0.018987,               0.018759,              0.0088142,                0.67505,                0.62984,                0.63077,                0.39114,                0.66381,                0.61811,                0.61965,                0.38888,               0.029579,               0.020763,               0.025078,               0.010051,              0.0008977,              0.0008977,              0.0008977
                     33,                0.03259,               0.018272,               0.017934,              0.0079297,                0.73519,                 0.5628,                0.63045,                0.38809,                0.72746,                0.55273,                 0.6163,                0.40017,               0.029454,               0.020559,               0.025204,              0.0097581,              0.0008944,              0.0008944,              0.0008944
                     34,               0.032037,               0.018337,               0.018353,              0.0077583,                0.69279,                0.61362,                0.62892,                0.39748,                0.68442,                0.60078,                0.61629,                0.38845,               0.030021,               0.020469,               0.025333,              0.0092392,              0.0008911,              0.0008911,              0.0008911
                     35,               0.033068,               0.019063,                 0.0182,              0.0077208,                0.72197,                0.58819,                 0.6315,                0.39684,                0.71206,                0.57169,                 0.6146,                 0.3935,               0.029058,               0.020864,               0.025317,              0.0099621,              0.0008878,              0.0008878,              0.0008878
