                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.099817,               0.074291,               0.044851,                      0,                0.41592,                0.42659,                0.34994,                0.13956,                0.43017,                 0.4412,                0.37288,                0.21017,               0.063885,               0.033812,               0.044936,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.071364,               0.042859,               0.045564,                      0,                 0.4204,                0.40037,                0.32135,               0.097968,                0.49295,                0.43803,                0.41262,                0.24293,               0.068844,               0.034728,               0.039019,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.065826,               0.040827,               0.044312,                      0,                0.52979,                0.39813,                0.39705,                0.15626,                0.53315,                0.39779,                0.40301,                  0.224,               0.061397,               0.040305,               0.043652,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.061173,               0.041526,               0.045136,                      0,                0.68275,                0.47636,                 0.5219,                0.20119,                 0.7081,                0.49663,                0.54776,                0.32023,               0.057291,               0.034647,               0.041638,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.056027,                0.03867,               0.044305,                      0,                0.66556,                0.49326,                0.52289,                0.19805,                0.71792,                0.49663,                0.56181,                0.28301,               0.055619,               0.033814,               0.042724,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.052893,               0.037105,               0.043386,                      0,                 0.7466,                0.64607,                0.69945,                0.34806,                0.74637,                0.63858,                0.69175,                0.37741,               0.043398,               0.027895,               0.036825,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.050042,                0.03605,               0.043532,                      0,                0.75459,                0.61985,                0.69643,                0.34956,                0.75778,                0.62247,                0.69523,                0.39522,               0.044682,               0.028689,               0.038505,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.049287,               0.034978,               0.043099,                      0,                0.77028,                0.66105,                0.72674,                0.37296,                0.77526,                0.65243,                0.71915,                0.41845,               0.042648,               0.026911,               0.036236,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.048227,               0.034498,               0.043434,                      0,                 0.7722,                0.68352,                0.75683,                0.39429,                0.77091,                0.67678,                0.74691,                0.42056,               0.040981,               0.027481,               0.035192,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.046394,                0.03378,               0.039995,                      0,                0.78664,                0.70562,                0.76745,                0.42374,                0.79583,                0.69925,                0.76397,                0.45661,               0.039194,               0.025888,               0.034592,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.045604,               0.033837,               0.041135,                      0,                0.77329,                0.65581,                0.73009,                0.40358,                0.77114,                0.65245,                0.72366,                0.44737,               0.040007,               0.026741,               0.036043,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.045041,               0.033038,               0.040587,                      0,                0.77929,                0.66742,                0.73737,                0.40728,                0.79198,                0.66517,                0.73807,                0.45147,               0.039965,               0.026094,               0.035665,                      0,                0.00967,                0.00967,                0.00967
                     12,               0.044685,               0.032437,               0.040309,                      0,                0.80624,                0.69974,                0.76157,                0.41569,                0.80226,                0.70052,                0.76466,                  0.464,               0.039683,               0.025275,               0.035636,                      0,               0.009637,               0.009637,               0.009637
                     13,               0.043598,               0.032583,               0.041114,                      0,                0.80856,                0.68315,                0.76569,                0.43664,                0.81473,                 0.6824,                0.77383,                0.47408,               0.038508,                0.02591,               0.034676,                      0,               0.009604,               0.009604,               0.009604
