                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.083804,               0.048737,               0.046182,               0.067253,                0.61126,                0.10393,               0.067177,               0.027661,                0.62595,               0.093281,               0.071151,                 0.0395,               0.060923,               0.020438,               0.030398,               0.061049,                0.07011,              0.0033211,              0.0033211
                      1,               0.062543,               0.027744,               0.037006,               0.055956,                0.31949,                0.20553,               0.098849,               0.039922,                0.32438,                0.21159,                 0.1059,               0.064682,               0.054813,               0.023881,               0.028429,               0.055504,               0.040088,              0.0066325,              0.0066325
                      2,               0.058751,                0.02728,               0.035415,               0.050037,                0.58176,                 0.2056,                0.19368,               0.095724,                 0.5812,                 0.2004,                0.19823,                0.11736,               0.047969,               0.021246,               0.028083,               0.046934,               0.010044,              0.0099218,              0.0099218
                      3,               0.052563,               0.028401,               0.034741,               0.043032,                0.81112,                0.21477,                 0.2317,                0.11324,                0.81331,                0.21573,                0.23704,                0.13157,               0.046639,               0.024516,               0.030368,               0.041668,               0.009901,               0.009901,               0.009901
                      4,               0.048229,               0.026978,               0.034881,               0.037526,                 0.8459,                0.22329,                0.29338,                0.13712,                0.85031,                0.22675,                0.30134,                0.19642,               0.042506,               0.020752,               0.027494,               0.038096,               0.009901,               0.009901,               0.009901
                      5,               0.045184,               0.026647,               0.033618,               0.034798,                0.49951,                 0.4145,                0.37917,                0.21483,                0.49556,                0.41234,                0.37906,                0.24254,               0.037226,               0.019887,               0.027922,                0.03385,               0.009868,               0.009868,               0.009868
                      6,                0.04334,               0.025475,               0.033372,               0.031099,                0.40552,                0.45445,                0.43256,                0.23868,                0.40369,                0.45838,                0.43041,                0.26705,               0.036531,               0.021325,               0.028083,               0.032439,               0.009835,               0.009835,               0.009835
                      7,               0.042504,               0.025351,               0.033101,               0.029046,                0.56626,                0.47473,                0.49099,                0.25304,                0.56864,                0.47752,                0.49422,                0.33947,               0.038334,               0.019524,                0.02729,               0.029803,               0.009802,               0.009802,               0.009802
                      8,               0.041239,               0.025333,               0.033378,               0.026856,                0.51113,                0.48208,                0.46319,                0.25911,                0.50982,                0.48558,                0.46259,                0.27356,                 0.0395,               0.024131,                0.03223,               0.031396,               0.009769,               0.009769,               0.009769
                      9,               0.040041,               0.024657,               0.030997,               0.024973,                0.54664,                0.53466,                0.55579,                0.33274,                0.55028,                 0.5383,                0.56334,                0.35861,               0.032971,               0.018745,               0.026424,               0.025778,               0.009736,               0.009736,               0.009736
                     10,               0.038807,               0.024192,               0.031567,               0.023139,                0.61659,                0.54108,                0.57295,                0.33777,                0.61539,                0.53915,                0.57237,                0.37551,               0.034228,               0.020083,               0.027009,               0.023871,               0.009703,               0.009703,               0.009703
