                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.081552,               0.046219,               0.046649,                      0,                0.50714,                0.58015,                0.54397,                0.21693,                0.52504,                0.58998,                   0.57,                0.36104,               0.054925,               0.021009,               0.035761,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.059361,               0.027159,                0.03956,                      0,                0.43343,                0.62809,                0.48035,                0.25852,                0.43931,                0.62358,                0.48869,                0.31968,               0.051812,               0.021018,               0.030766,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.054476,               0.026354,                0.03664,                      0,                0.57628,                0.56795,                0.57862,                0.26028,                0.61239,                0.55327,                0.58924,                0.36871,               0.048896,               0.026306,                0.03844,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.048445,               0.027792,               0.036728,                      0,                0.80299,                0.72051,                0.78355,                0.41506,                0.81345,                0.70223,                0.77817,                0.50798,               0.041857,               0.023533,               0.033972,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.044008,               0.026918,               0.037263,                      0,                0.78578,                0.67041,                0.73552,                0.38949,                0.80025,                0.66779,                0.73803,                0.46947,               0.043125,               0.026481,               0.036789,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.041983,               0.025966,               0.035887,                      0,                0.81731,                0.77914,                0.82996,                0.50001,                0.81855,                0.77416,                0.82536,                0.52002,               0.035327,                0.02152,               0.032621,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.040584,               0.025537,               0.035739,                      0,                0.80287,                0.75918,                0.81772,                0.45338,                0.81058,                0.76554,                  0.826,                0.55211,               0.039033,               0.020779,               0.031332,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.038472,               0.025165,                0.03607,                      0,                0.81511,                0.73146,                0.79534,                0.48472,                0.82261,                0.70712,                0.77792,                0.47503,               0.036123,               0.021661,               0.033599,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.037525,               0.024712,               0.035795,                      0,                0.82397,                0.68352,                0.76501,                0.44884,                 0.8222,                0.67544,                0.75812,                0.45993,               0.036069,               0.023354,               0.036488,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.035929,               0.024196,               0.032899,                      0,                0.83608,                0.79277,                0.85661,                 0.5396,                0.83106,                0.76828,                0.83241,                0.51649,               0.030914,               0.020089,               0.030818,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.035442,               0.024337,               0.033661,                      0,                 0.8178,                0.76667,                0.83211,                0.53414,                0.81335,                0.75655,                0.81548,                0.51836,               0.031804,               0.020405,               0.030836,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.034961,               0.023529,               0.032922,                      0,                0.82788,                0.79623,                 0.8627,                0.56722,                0.81797,                0.78259,                0.83975,                0.53655,                0.02963,               0.019159,               0.028736,                      0,                0.00967,                0.00967,                0.00967
                     12,               0.034034,               0.023116,               0.032614,                      0,                0.82013,                0.78127,                0.84893,                 0.5742,                0.82082,                0.77865,                0.84603,                0.56737,               0.028566,               0.018625,               0.029977,                      0,               0.009637,               0.009637,               0.009637
                     13,               0.033409,               0.023046,               0.033238,                      0,                0.82574,                0.81049,                0.86629,                0.57856,                0.83683,                0.79138,                0.85854,                0.59168,               0.028416,               0.018476,               0.028813,                      0,               0.009604,               0.009604,               0.009604
                     14,               0.032895,               0.022265,               0.032114,                      0,                0.82832,                0.76816,                0.83381,                0.55973,                0.82582,                 0.7618,                0.82692,                0.55428,               0.029444,               0.020142,               0.031045,                      0,               0.009571,               0.009571,               0.009571
                     15,               0.032102,               0.022561,               0.031282,                      0,                0.83869,                0.78539,                0.85403,                0.57556,                0.83205,                0.77753,                0.84333,                0.57256,               0.028823,               0.019443,               0.029709,                      0,               0.009538,               0.009538,               0.009538
