               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11507,            0.087719,                   0,           0.0032749,            0.045344,           0.0020171,          0.00051143,             0.10484,             0.08722,                   0,            0.068638,           0.0010703,           0.0010703
                   1,             0.10481,            0.084979,                   0,            0.098907,             0.12389,            0.041089,           0.0095277,            0.093453,            0.085483,                   0,            0.036395,           0.0021605,           0.0021605
                   2,            0.097621,            0.075384,                   0,             0.15982,             0.20243,            0.084666,            0.022224,            0.082722,            0.093252,                   0,           0.0041417,           0.0032408,           0.0032408
                   3,            0.089951,            0.070663,                   0,             0.22193,             0.27299,             0.13525,              0.0388,            0.075506,            0.094042,                   0,           0.0032554,           0.0032554,           0.0032554
                   4,            0.080661,            0.075127,                   0,             0.17657,             0.26316,             0.11926,            0.032507,            0.075861,            0.078287,                   0,           0.0032554,           0.0032554,           0.0032554
                   5,            0.076619,             0.06877,                   0,             0.26353,             0.34413,             0.18942,             0.05615,            0.069693,            0.078482,                   0,           0.0032406,           0.0032406,           0.0032406
                   6,            0.074081,            0.078902,                   0,             0.40746,             0.39838,             0.34064,             0.11432,            0.065081,            0.076717,                   0,           0.0032257,           0.0032257,           0.0032257
                   7,            0.071302,            0.064241,                   0,             0.30811,             0.38219,             0.26128,            0.084318,            0.065317,            0.072379,                   0,           0.0032109,           0.0032109,           0.0032109
                   8,            0.067779,            0.070947,                   0,             0.31813,             0.40162,             0.28056,            0.098288,            0.064662,            0.072014,                   0,            0.003196,            0.003196,            0.003196
                   9,            0.068067,            0.067934,                   0,             0.45277,             0.42429,             0.38823,             0.13192,            0.060639,            0.070868,                   0,           0.0031812,           0.0031812,           0.0031812
                  10,              0.0659,             0.07162,                   0,             0.37716,             0.42267,             0.34043,             0.12836,            0.062266,            0.069725,                   0,           0.0031663,           0.0031663,           0.0031663
                  11,            0.065452,            0.072338,                   0,             0.55319,              0.4502,              0.4523,             0.16243,            0.059748,            0.069616,                   0,           0.0031515,           0.0031515,           0.0031515
                  12,            0.063843,            0.070315,                   0,             0.50803,             0.46397,             0.42546,             0.15772,            0.059288,            0.068261,                   0,           0.0031366,           0.0031366,           0.0031366
                  13,            0.060711,            0.065245,                   0,             0.49389,             0.41538,             0.40899,             0.15184,             0.05908,            0.067601,                   0,           0.0031218,           0.0031218,           0.0031218
                  14,             0.06172,            0.071645,                   0,             0.53874,             0.48016,             0.46865,             0.16059,            0.059522,            0.068342,                   0,           0.0031069,           0.0031069,           0.0031069
                  15,            0.060853,            0.065081,                   0,             0.57809,             0.47126,              0.4764,             0.18947,            0.056861,            0.068761,                   0,           0.0030921,           0.0030921,           0.0030921
                  16,            0.060888,            0.058979,                   0,             0.51383,             0.47837,             0.44834,             0.16908,            0.058734,            0.068788,                   0,           0.0030773,           0.0030773,           0.0030773
                  17,            0.059662,            0.069126,                   0,             0.57247,             0.48502,             0.48477,             0.18461,            0.056814,             0.06867,                   0,           0.0030624,           0.0030624,           0.0030624
                  18,            0.059597,             0.06411,                   0,             0.57927,             0.50725,             0.51027,             0.20782,            0.055699,            0.068888,                   0,           0.0030475,           0.0030475,           0.0030475
