                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.094264,               0.065275,               0.044242,               0.069474,                0.47781,               0.085725,               0.041691,               0.013904,                0.61847,               0.083123,               0.051062,                0.02376,               0.068337,               0.026976,               0.032295,                0.06264,                0.07011,              0.0033211,              0.0033211
                      1,               0.067875,               0.034895,               0.039934,               0.056994,                0.29264,                0.19674,               0.072374,               0.027524,                0.57451,                0.12448,               0.080413,               0.042179,               0.059354,               0.025973,                0.03009,               0.056963,               0.040088,              0.0066325,              0.0066325
                      2,               0.063596,                0.03364,               0.038299,               0.053551,                0.32007,                0.17979,                 0.1101,                 0.0506,                0.32277,                 0.1809,                0.11172,               0.063243,               0.053379,               0.030153,               0.035106,               0.054712,               0.010044,              0.0099218,              0.0099218
                      3,               0.057642,               0.034142,               0.037871,               0.050339,                0.57079,                0.17521,                  0.171,               0.076946,                0.57157,                0.17647,                0.17518,                0.10351,               0.047743,               0.026126,               0.033221,               0.050174,               0.009901,               0.009901,               0.009901
                      4,               0.053454,               0.032613,               0.038591,               0.045309,                0.66567,                0.15935,                0.18738,               0.084703,                0.68036,                0.15844,                 0.1908,                0.11406,               0.048761,                0.02988,               0.035065,               0.046934,               0.009901,               0.009901,               0.009901
                      5,               0.051278,               0.031971,               0.037095,               0.042267,                0.78826,                0.21485,                0.24488,                0.12223,                0.79184,                0.21404,                0.24911,                0.15868,               0.042605,               0.024716,               0.032289,               0.042188,               0.009868,               0.009868,               0.009868
                      6,               0.048857,               0.030742,               0.037201,               0.038649,                0.83244,                0.21927,                  0.307,                0.15911,                0.83243,                0.21887,                0.30762,                 0.1919,               0.039669,               0.023533,               0.029461,               0.039044,               0.009835,               0.009835,               0.009835
                      7,               0.047138,               0.030818,               0.036769,               0.036754,                0.32449,                 0.2707,                 0.2443,                0.12766,                0.35271,                0.27384,                0.25068,                0.14166,               0.046064,               0.029895,               0.035904,               0.042733,               0.009802,               0.009802,               0.009802
                      8,               0.046493,                0.03063,               0.036886,               0.034467,                0.56026,                0.32031,                0.34213,                0.17961,                0.50171,                0.33576,                0.34086,                0.19388,                 0.0391,                0.02334,               0.029636,               0.035255,               0.009769,               0.009769,               0.009769
                      9,               0.045406,               0.029227,               0.034288,               0.032706,                0.31374,                0.39115,                0.34034,                0.18744,                0.31626,                0.39256,                0.34273,                0.20473,               0.038946,               0.023748,               0.030806,               0.035418,               0.009736,               0.009736,               0.009736
                     10,               0.044081,               0.028459,               0.034889,               0.030837,                 0.6136,                0.34386,                0.40286,                0.20967,                0.63636,                0.34282,                0.40503,                0.22283,               0.037895,               0.022979,               0.029022,               0.032381,               0.009703,               0.009703,               0.009703
                     11,               0.043723,               0.027953,               0.034648,               0.029242,                0.59628,                0.38362,                0.42726,                0.23423,                0.59874,                0.38619,                0.42974,                0.25276,               0.038395,               0.022569,               0.029191,                0.03186,                0.00967,                0.00967,                0.00967
                     12,               0.043025,               0.028018,               0.034761,               0.028698,                0.56512,                0.45564,                0.48919,                0.27731,                0.58609,                0.45116,                0.48349,                0.28412,               0.037052,               0.021915,               0.028913,               0.029104,               0.009637,               0.009637,               0.009637
                     13,               0.042206,               0.027227,               0.034104,               0.026744,                0.53879,                0.49628,                0.50278,                0.27095,                0.55119,                0.46943,                0.49549,                0.29207,               0.037525,               0.021714,               0.028299,               0.026704,               0.009604,               0.009604,               0.009604
                     14,               0.042029,               0.027765,               0.034726,               0.025601,                0.50021,                0.53022,                0.52463,                0.29721,                  0.503,                0.52835,                0.52263,                0.32231,               0.033955,               0.020827,               0.027552,               0.028105,               0.009571,               0.009571,               0.009571
                     15,                0.04147,               0.026337,                0.03433,               0.023724,                0.55315,                0.53487,                0.53703,                0.29994,                0.55545,                0.53721,                0.54047,                0.32607,               0.035291,               0.021118,               0.027784,               0.026237,               0.009538,               0.009538,               0.009538
                     16,               0.040386,               0.026134,               0.031587,                 0.0236,                0.69873,                0.50251,                0.58655,                0.33524,                0.70128,                0.50056,                0.57821,                0.34849,               0.034069,               0.021353,                0.02741,               0.024879,               0.009505,               0.009505,               0.009505
                     17,               0.040242,               0.026697,               0.034165,               0.022311,                0.64139,                 0.5561,                 0.5912,                0.33795,                 0.6424,                0.55792,                0.59182,                0.36779,               0.034473,               0.020452,               0.027642,               0.024778,               0.009472,               0.009472,               0.009472
                     18,               0.040022,               0.025677,               0.032851,               0.021924,                0.63611,                0.58904,                0.62487,                0.36652,                0.63399,                0.58475,                0.62158,                0.39056,               0.032483,                0.01998,               0.026238,               0.023348,               0.009439,               0.009439,               0.009439
                     19,               0.040019,               0.026382,               0.032979,                0.02091,                0.66534,                0.57755,                0.62247,                0.35675,                0.66639,                0.58028,                0.62321,                0.38211,               0.033973,               0.020145,               0.026602,               0.021946,               0.009406,               0.009406,               0.009406
                     20,               0.039735,               0.026217,               0.033001,               0.020466,                0.75519,                0.52723,                0.61235,                0.36251,                0.75702,                0.52094,                0.60381,                0.38267,               0.033983,               0.021679,               0.027707,               0.021555,               0.009373,               0.009373,               0.009373
                     21,               0.039465,               0.026006,               0.032633,               0.019337,                0.72394,                0.58485,                0.66235,                0.39507,                0.72361,                0.58183,                 0.6596,                0.41635,               0.033047,               0.019264,               0.026995,               0.020355,                0.00934,                0.00934,                0.00934
                     22,               0.038557,               0.025381,               0.032611,               0.018844,                0.73234,                0.57835,                0.65659,                0.38115,                0.73364,                0.57218,                0.65176,                0.40592,               0.033834,                0.02054,               0.026572,               0.020314,               0.009307,               0.009307,               0.009307
                     23,                0.03838,               0.024899,               0.032533,               0.018706,                0.71031,                0.61397,                0.67932,                0.39305,                0.70333,                0.61197,                0.67763,                0.45059,               0.033271,               0.019483,               0.026343,               0.018927,               0.009274,               0.009274,               0.009274
                     24,               0.038343,               0.024849,               0.031967,               0.018038,                0.70652,                0.63699,                0.69749,                0.41375,                0.70695,                0.63666,                0.69615,                0.45948,               0.032509,               0.018885,               0.025958,               0.018141,               0.009241,               0.009241,               0.009241
                     25,               0.037828,               0.024948,               0.031491,               0.017249,                0.75165,                0.58744,                0.66254,                0.38801,                0.75444,                0.58891,                0.66293,                0.43058,               0.032658,               0.019638,               0.025909,                0.01875,               0.009208,               0.009208,               0.009208
                     26,               0.037317,               0.024764,               0.032331,               0.016633,                0.76118,                0.63059,                0.69386,                0.41133,                0.76021,                0.63006,                0.69083,                0.45592,               0.032248,               0.019947,               0.026046,               0.017499,               0.009175,               0.009175,               0.009175
                     27,               0.036989,               0.024515,               0.031579,               0.016959,                0.74477,                0.63892,                0.68981,                0.41959,                0.74153,                0.63655,                0.68383,                0.43449,               0.030473,               0.019478,               0.025879,               0.017895,               0.009142,               0.009142,               0.009142
                     28,               0.037243,               0.024686,               0.031676,                0.01625,                0.78746,                 0.5954,                0.68321,                0.42212,                0.78518,                0.59648,                0.67997,                0.43078,               0.031905,               0.019861,               0.026695,               0.019688,               0.009109,               0.009109,               0.009109
                     29,               0.036778,               0.024471,               0.031918,               0.016031,                0.74858,                0.61673,                0.69967,                0.41709,                0.75355,                0.61859,                 0.6977,                0.44415,               0.030965,               0.019708,               0.025583,               0.018813,               0.009076,               0.009076,               0.009076
                     30,               0.036311,               0.024483,               0.032334,               0.015407,                0.76551,                0.62892,                0.69513,                0.41916,                 0.7605,                0.62643,                0.69245,                0.46044,               0.031212,               0.019481,               0.025491,               0.018024,               0.009043,               0.009043,               0.009043
                     31,               0.036688,               0.024331,               0.031761,               0.014789,                0.80788,                0.62511,                0.70664,                 0.4143,                0.80856,                0.61938,                0.70765,                0.47448,               0.031789,               0.018974,               0.025991,               0.016427,                0.00901,                0.00901,                0.00901
                     32,               0.035458,               0.024059,               0.030448,               0.015293,                0.78489,                0.63404,                0.71134,                0.44598,                 0.7907,                0.63286,                0.71615,                0.48117,               0.030929,               0.018692,               0.025345,               0.016649,               0.008977,               0.008977,               0.008977
                     33,               0.036077,               0.023641,                  0.031,               0.014148,                0.79215,                0.58938,                0.68881,                0.42775,                0.78743,                  0.585,                0.68661,                0.45215,               0.031207,               0.019246,                 0.0257,               0.017563,               0.008944,               0.008944,               0.008944
                     34,               0.035525,               0.023366,               0.029744,               0.014675,                0.77474,                0.66008,                   0.73,                0.45055,                0.77653,                0.66552,                0.73274,                0.48645,               0.029983,               0.018663,               0.025128,               0.016228,               0.008911,               0.008911,               0.008911
                     35,               0.035117,               0.022752,               0.029481,               0.014807,                0.75681,                0.61435,                0.70527,                0.43247,                0.76221,                0.61892,                0.70934,                0.47198,               0.030754,               0.019042,                0.02573,               0.017457,               0.008878,               0.008878,               0.008878
                     36,               0.034611,               0.023389,               0.030048,               0.014174,                0.80082,                0.60993,                0.70161,                0.44185,                0.80251,                0.61842,                 0.7065,                0.46899,               0.030904,               0.019349,               0.026185,               0.017416,               0.008845,               0.008845,               0.008845
                     37,               0.035513,               0.023086,               0.030146,               0.014003,                0.71099,                0.69529,                0.75024,                 0.4654,                0.71095,                0.69507,                0.74822,                0.49083,               0.029858,               0.018546,               0.025348,                 0.0154,               0.008812,               0.008812,               0.008812
                     38,               0.034981,               0.023674,               0.030687,               0.013364,                0.76361,                0.69393,                0.75135,                0.47551,                0.76447,                0.69664,                0.75347,                0.50201,                0.02936,               0.018425,               0.025013,               0.015715,               0.008779,               0.008779,               0.008779
                     39,                0.03441,               0.023066,               0.029998,               0.013593,                0.75086,                0.68711,                0.74529,                0.48434,                 0.7482,                0.68465,                0.74019,                0.49746,               0.029556,               0.018228,               0.025405,               0.015871,               0.008746,               0.008746,               0.008746
                     40,                0.03439,               0.023283,               0.030022,               0.013331,                0.81736,                0.62613,                0.75036,                0.47904,                  0.821,                0.62584,                0.74943,                0.48814,               0.029399,               0.018176,               0.024949,               0.015891,               0.008713,               0.008713,               0.008713
                     41,                0.03418,               0.022755,               0.030152,               0.012682,                0.71722,                 0.6927,                0.76068,                 0.4867,                0.72274,                0.69738,                0.76676,                0.49889,               0.029027,               0.018671,                0.02561,               0.014651,                0.00868,                0.00868,                0.00868
                     42,               0.034162,               0.023252,               0.029769,               0.012693,                0.71484,                0.68985,                 0.7402,                0.46749,                0.73484,                0.68483,                 0.7335,                0.48942,               0.029531,               0.018772,               0.025473,               0.015913,               0.008647,               0.008647,               0.008647
                     43,               0.033785,               0.022583,                0.02889,               0.012354,                0.70914,                0.69708,                0.74406,                0.48637,                0.70979,                0.69584,                 0.7418,                 0.4946,               0.029046,               0.018376,                0.02535,               0.015725,               0.008614,               0.008614,               0.008614
                     44,               0.034077,               0.022912,               0.029975,               0.012636,                0.81727,                0.66241,                0.78417,                0.49104,                0.81857,                0.66115,                0.78231,                0.52421,               0.028998,                0.01834,               0.025124,               0.014487,               0.008581,               0.008581,               0.008581
                     45,               0.033252,               0.022203,               0.028836,               0.011802,                0.77253,                0.68709,                0.74415,                 0.4805,                 0.7717,                0.68635,                0.74175,                0.50845,               0.028924,               0.018309,               0.025147,               0.016047,               0.008548,               0.008548,               0.008548
                     46,               0.033626,               0.022401,               0.030406,               0.011473,                0.76319,                0.69867,                0.77454,                0.51424,                0.76362,                 0.6976,                0.77321,                0.52732,               0.028024,               0.017879,               0.025194,               0.015131,               0.008515,               0.008515,               0.008515
                     47,               0.033634,               0.022332,               0.028216,               0.011632,                0.76834,                0.68428,                0.74951,                0.48383,                0.76895,                0.67793,                0.74649,                0.50597,               0.028543,               0.018865,               0.025452,                0.01546,               0.008482,               0.008482,               0.008482
                     48,               0.033454,               0.022568,               0.029132,               0.010933,                0.78476,                0.70117,                0.77204,                0.50755,                0.78335,                0.69708,                0.76605,                0.50743,               0.028026,               0.018259,               0.025181,               0.015161,               0.008449,               0.008449,               0.008449
                     49,               0.033321,               0.022574,               0.028608,               0.011472,                 0.7736,                0.71895,                0.75187,                0.48281,                0.77104,                0.71736,                0.74755,                0.50277,               0.028648,                0.01799,               0.025103,               0.015303,               0.008416,               0.008416,               0.008416
