               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11517,            0.090249,                   0,           0.0044601,              0.1135,           0.0034708,          0.00077979,             0.10252,            0.064987,                   0,            0.068638,           0.0010703,           0.0010703
                   1,             0.10601,            0.090413,                   0,            0.091007,             0.17682,            0.049567,            0.011421,            0.089937,            0.065822,                   0,            0.036395,           0.0021605,           0.0021605
                   2,            0.098676,            0.082848,                   0,             0.16171,             0.28315,             0.11961,            0.032923,            0.082072,            0.078516,                   0,           0.0041417,           0.0032408,           0.0032408
                   3,            0.089976,            0.073417,                   0,             0.24316,             0.30227,             0.19633,            0.055013,            0.076219,            0.072162,                   0,           0.0032554,           0.0032554,           0.0032554
                   4,            0.081775,            0.071004,                   0,             0.21443,             0.40024,             0.16101,             0.04747,            0.066901,            0.057318,                   0,           0.0032554,           0.0032554,           0.0032554
                   5,            0.076578,            0.071372,                   0,             0.28795,             0.42533,             0.24834,            0.073521,            0.063707,             0.06011,                   0,           0.0032406,           0.0032406,           0.0032406
                   6,            0.074396,            0.076481,                   0,             0.36997,             0.45878,             0.34605,              0.1039,            0.060807,            0.054761,                   0,           0.0032257,           0.0032257,           0.0032257
                   7,             0.07167,            0.068991,                   0,             0.46694,             0.47199,             0.42167,             0.14676,            0.060493,            0.050164,                   0,           0.0032109,           0.0032109,           0.0032109
                   8,            0.069074,            0.070652,                   0,             0.40597,             0.51016,             0.40998,             0.14444,            0.060392,            0.050696,                   0,            0.003196,            0.003196,            0.003196
                   9,            0.070003,            0.074032,                   0,             0.46514,             0.47192,             0.42467,             0.15146,            0.057321,            0.051111,                   0,           0.0031812,           0.0031812,           0.0031812
                  10,            0.066748,            0.071989,                   0,             0.52487,             0.48387,             0.49271,             0.17534,            0.058441,            0.047609,                   0,           0.0031663,           0.0031663,           0.0031663
                  11,            0.066304,            0.079179,                   0,             0.53884,             0.48984,             0.47339,             0.15919,            0.058807,            0.051154,                   0,           0.0031515,           0.0031515,           0.0031515
                  12,            0.063821,            0.073094,                   0,             0.58214,             0.52449,             0.52736,             0.19158,            0.055708,            0.048658,                   0,           0.0031366,           0.0031366,           0.0031366
                  13,            0.061883,            0.072066,                   0,             0.53407,              0.4994,             0.48316,             0.17344,            0.055021,            0.048657,                   0,           0.0031218,           0.0031218,           0.0031218
                  14,            0.062605,            0.070478,                   0,             0.54956,             0.49821,             0.51908,             0.17822,             0.05613,            0.047757,                   0,           0.0031069,           0.0031069,           0.0031069
                  15,             0.06333,            0.070462,                   0,             0.63349,             0.55914,             0.57681,             0.21423,            0.052044,            0.048792,                   0,           0.0030921,           0.0030921,           0.0030921
                  16,            0.061202,            0.063068,                   0,             0.57994,             0.57348,             0.55141,             0.20568,             0.05294,            0.048717,                   0,           0.0030773,           0.0030773,           0.0030773
                  17,            0.060799,            0.066957,                   0,             0.61745,             0.57348,             0.58337,             0.22672,            0.051346,            0.048062,                   0,           0.0030624,           0.0030624,           0.0030624
                  18,            0.059212,             0.07576,                   0,             0.63659,              0.5448,             0.58751,             0.22182,            0.052856,            0.047884,                   0,           0.0030475,           0.0030475,           0.0030475
                  19,            0.060423,            0.067679,                   0,             0.62641,             0.55675,             0.58322,             0.21263,            0.053701,            0.047601,                   0,           0.0030327,           0.0030327,           0.0030327
                  20,            0.058136,             0.07084,                   0,             0.67189,             0.55047,             0.59708,             0.22921,            0.051892,            0.048491,                   0,           0.0030178,           0.0030178,           0.0030178
                  21,            0.058113,            0.063721,                   0,              0.6152,             0.58184,             0.58015,             0.21864,            0.052069,             0.04791,                   0,            0.003003,            0.003003,            0.003003
                  22,            0.058994,            0.069035,                   0,             0.65129,             0.54122,             0.57829,             0.22329,            0.050758,            0.047742,                   0,           0.0029881,           0.0029881,           0.0029881
                  23,            0.057593,            0.069025,                   0,             0.68954,             0.53524,             0.58313,             0.21918,            0.052313,            0.048224,                   0,           0.0029733,           0.0029733,           0.0029733
                  24,            0.056843,            0.073779,                   0,             0.65563,             0.58003,             0.60602,             0.22176,            0.052171,            0.047669,                   0,           0.0029585,           0.0029585,           0.0029585
                  25,            0.057503,            0.071442,                   0,              0.6399,             0.59021,             0.59729,             0.22229,            0.053117,            0.047647,                   0,           0.0029436,           0.0029436,           0.0029436
                  26,             0.05735,            0.079201,                   0,             0.60588,             0.58423,             0.59175,             0.23542,            0.050491,            0.047623,                   0,           0.0029287,           0.0029287,           0.0029287
                  27,            0.057597,            0.069264,                   0,             0.61401,             0.57587,             0.58791,              0.2338,            0.050398,            0.048221,                   0,           0.0029139,           0.0029139,           0.0029139
                  28,             0.05572,            0.068065,                   0,             0.60138,             0.55675,             0.57545,             0.22374,             0.05214,            0.049961,                   0,            0.002899,            0.002899,            0.002899
                  29,            0.056929,            0.067018,                   0,             0.62946,             0.58303,             0.58666,             0.23804,            0.049979,            0.048658,                   0,           0.0028842,           0.0028842,           0.0028842
                  30,            0.055047,            0.059463,                   0,             0.61386,             0.58303,             0.59916,              0.2481,            0.049125,             0.04823,                   0,           0.0028693,           0.0028693,           0.0028693
                  31,            0.053947,            0.066769,                   0,              0.5992,             0.56392,              0.5844,             0.21565,            0.052471,            0.048399,                   0,           0.0028545,           0.0028545,           0.0028545
                  32,            0.054449,            0.062925,                   0,              0.6519,             0.59293,             0.59439,             0.23318,            0.051213,            0.047338,                   0,           0.0028396,           0.0028396,           0.0028396
                  33,            0.054597,            0.072545,                   0,             0.64244,             0.58542,             0.60131,             0.23322,            0.050407,            0.048657,                   0,           0.0028248,           0.0028248,           0.0028248
                  34,            0.054221,            0.069944,                   0,             0.64034,             0.60096,             0.60979,             0.25105,            0.049799,            0.047692,                   0,           0.0028099,           0.0028099,           0.0028099
                  35,            0.053046,            0.066153,                   0,             0.66882,             0.57109,             0.60838,             0.23637,            0.050935,            0.049033,                   0,           0.0027951,           0.0027951,           0.0027951
                  36,            0.054058,            0.065801,                   0,             0.65348,             0.58354,             0.61242,             0.24496,            0.049831,            0.047977,                   0,           0.0027802,           0.0027802,           0.0027802
                  37,            0.053012,            0.064076,                   0,             0.64907,              0.5902,             0.61157,             0.25217,            0.048803,            0.047849,                   0,           0.0027654,           0.0027654,           0.0027654
                  38,              0.0531,             0.06383,                   0,             0.66137,             0.58065,             0.60814,             0.25205,            0.049469,            0.048115,                   0,           0.0027505,           0.0027505,           0.0027505
                  39,            0.051451,            0.065543,                   0,             0.64296,             0.58542,             0.60151,             0.25103,            0.049338,            0.047928,                   0,           0.0027357,           0.0027357,           0.0027357
                  40,            0.052667,            0.064035,                   0,             0.62635,             0.61484,             0.60928,              0.2533,            0.049364,            0.048107,                   0,           0.0027208,           0.0027208,           0.0027208
                  41,            0.051574,            0.059803,                   0,             0.63879,             0.58781,             0.59968,             0.24606,            0.049746,            0.048617,                   0,            0.002706,            0.002706,            0.002706
                  42,             0.05318,            0.073085,                   0,             0.64744,             0.59259,             0.61216,             0.25266,            0.048957,            0.048791,                   0,           0.0026911,           0.0026911,           0.0026911
                  43,            0.052649,            0.065224,                   0,             0.64795,             0.57109,               0.592,             0.24755,            0.049022,             0.04837,                   0,           0.0026763,           0.0026763,           0.0026763
                  44,            0.050996,            0.057144,                   0,             0.67955,             0.54471,             0.58539,             0.24606,            0.049594,            0.049436,                   0,           0.0026615,           0.0026615,           0.0026615
