                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.088149,               0.053537,               0.043637,               0.068231,                0.28667,                0.12688,                0.05726,               0.024517,                0.29638,                0.12986,               0.063972,               0.037101,               0.067597,               0.025108,               0.032063,               0.062705,                0.07011,              0.0033211,              0.0033211
                      1,               0.063274,               0.030044,               0.038026,               0.057721,                0.49253,                0.14965,               0.082956,                0.03487,                0.49806,                0.15474,                0.08668,               0.042612,               0.059553,               0.022694,               0.029149,               0.057608,               0.040088,              0.0066325,              0.0066325
                      2,               0.058432,               0.028676,               0.035335,               0.053574,                0.47848,                0.23465,                0.13835,               0.054266,                 0.4793,                 0.2345,                0.14511,               0.079713,               0.054417,               0.021617,               0.029526,               0.052694,               0.010044,              0.0099218,              0.0099218
                      3,               0.052702,                0.02979,               0.035763,               0.048905,                0.72823,                0.18394,                 0.1917,                0.09285,                0.73042,                0.18117,                0.19022,                0.11191,               0.048353,               0.027326,               0.033243,                0.04782,               0.009901,               0.009901,               0.009901
                      4,               0.048301,               0.029269,                0.03621,               0.042926,                0.81885,                 0.2063,                0.25045,                0.11701,                0.82599,                0.21022,                0.25526,                0.15993,               0.046132,               0.023346,               0.030996,               0.042133,               0.009901,               0.009901,               0.009901
                      5,                0.04632,               0.028343,                 0.0353,               0.038538,                0.85064,                0.22635,                0.28767,                0.15731,                0.85179,                0.22218,                0.28519,                0.17654,                0.03891,               0.022207,               0.030324,               0.038764,               0.009868,               0.009868,               0.009868
                      6,               0.044022,               0.027389,               0.034643,               0.035336,                0.52592,                0.32592,                  0.331,                0.15962,                0.52618,                0.32416,                0.33144,                0.20374,               0.043691,               0.022339,                0.03068,               0.034528,               0.009835,               0.009835,               0.009835
                      7,               0.042418,               0.026163,               0.033502,               0.032875,                0.68223,                0.34689,                0.39544,                0.21213,                0.67976,                0.34257,                0.39255,                0.24217,               0.038256,               0.021634,               0.029773,               0.033249,               0.009802,               0.009802,               0.009802
                      8,               0.040677,               0.025728,               0.033903,               0.030616,                 0.5646,                0.43265,                0.43269,                0.23742,                0.55423,                 0.4196,                0.42046,                0.25988,               0.037583,               0.021647,               0.030504,               0.030219,               0.009769,               0.009769,               0.009769
                      9,                0.04037,                0.02566,               0.032215,                0.02836,                 0.5506,                0.50095,                0.51624,                0.29653,                0.54962,                0.49842,                0.51227,                0.31471,               0.034579,               0.020583,               0.028991,               0.028228,               0.009736,               0.009736,               0.009736
