                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10011,               0.073966,               0.044169,                      0,                0.38066,                0.37104,                0.29066,                0.10415,                0.41158,                0.39133,                0.33089,                0.16796,                0.06844,               0.036219,                0.04722,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.071012,               0.042326,               0.044633,                      0,                0.52301,                0.48818,                 0.4423,                0.14628,                0.59048,                0.50346,                0.51286,                0.28922,               0.061354,               0.033007,               0.040008,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.066404,               0.041141,               0.043223,                      0,                0.45889,                0.51073,                0.43338,                0.18474,                0.47009,                0.51213,                0.44069,                0.23683,               0.059495,                0.03264,                0.03973,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.060785,                0.04012,               0.043536,                      0,                0.71846,                0.60339,                0.66053,                0.28747,                0.74868,                0.60931,                0.67774,                0.35889,               0.049706,               0.031286,                0.04077,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.055404,               0.037467,               0.043197,                      0,                0.75813,                0.56893,                0.65207,                 0.3291,                0.76007,                0.57039,                0.64967,                0.36367,               0.048084,               0.034112,               0.041308,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.052765,               0.036917,               0.043655,                      0,                0.74576,                0.61513,                0.67245,                 0.3174,                0.75544,                0.62423,                0.67736,                0.36516,               0.048056,               0.030778,               0.039827,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.050708,               0.035151,               0.042814,                      0,                0.73047,                0.64496,                0.70646,                0.34161,                0.80216,                0.61368,                0.71154,                0.41145,               0.047058,                0.02984,               0.040185,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.049217,               0.034439,               0.041839,                      0,                0.81465,                0.67588,                0.75934,                0.41406,                0.81045,                0.67658,                 0.7582,                0.46809,               0.041692,               0.027674,               0.037165,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.047543,               0.034171,               0.042025,                      0,                0.78587,                0.68279,                0.75584,                0.41938,                 0.7946,                0.68898,                 0.7608,                0.46366,                0.04119,               0.028495,               0.037542,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.046783,               0.033685,               0.040557,                      0,                0.80408,                0.69734,                0.77104,                0.41478,                0.80637,                0.69688,                0.77192,                0.47855,               0.041662,                0.02797,               0.036491,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.045544,               0.033263,               0.039756,                      0,                0.79203,                0.69825,                0.77112,                0.41216,                0.80022,                 0.7028,                0.77796,                0.46112,               0.041947,               0.028314,               0.037257,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.045841,               0.033599,               0.040549,                      0,                0.79325,                0.68607,                0.77062,                0.44069,                0.79383,                0.68825,                0.76648,                0.45331,               0.039368,               0.027134,               0.037144,                      0,                0.00967,                0.00967,                0.00967
