               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.064209,            0.084214,                   0,             0.63342,              0.6006,             0.61125,             0.23953,             0.05356,            0.060348,                   0,          0.00031006,          0.00031006,          0.00031006
                  38,            0.062177,            0.077791,                   0,             0.63307,             0.59829,             0.61699,             0.23841,            0.053205,            0.060638,                   0,          0.00030839,          0.00030839,          0.00030839
                  39,            0.063626,            0.081236,                   0,             0.64389,             0.60114,             0.62745,             0.24274,            0.053209,            0.060331,                   0,          0.00030673,          0.00030673,          0.00030673
                  40,            0.063327,            0.084582,                   0,             0.66292,             0.60114,             0.63431,             0.24967,            0.052974,            0.060204,                   0,          0.00030506,          0.00030506,          0.00030506
                  41,            0.062852,            0.089748,                   0,             0.65045,             0.60114,             0.61901,             0.24726,            0.053057,            0.060033,                   0,           0.0003034,           0.0003034,           0.0003034
                  42,            0.062892,            0.078764,                   0,             0.64332,             0.60121,             0.62489,             0.24879,            0.052999,            0.060317,                   0,          0.00030173,          0.00030173,          0.00030173
                  43,            0.061297,            0.080648,                   0,             0.65274,             0.61254,             0.62348,             0.24169,            0.052965,            0.060225,                   0,          0.00030007,          0.00030007,          0.00030007
                  44,            0.062895,            0.087976,                   0,             0.64439,             0.60918,             0.62985,             0.24509,            0.052826,            0.060519,                   0,          0.00029841,          0.00029841,          0.00029841
                  45,            0.061484,            0.076265,                   0,              0.6288,             0.59845,             0.62458,             0.24766,            0.052843,            0.060645,                   0,          0.00029674,          0.00029674,          0.00029674
                  46,            0.061278,            0.084784,                   0,             0.64731,             0.60684,             0.63413,             0.25266,            0.052869,            0.060296,                   0,          0.00029508,          0.00029508,          0.00029508
                  47,             0.06118,            0.080536,                   0,             0.65875,             0.58689,              0.6328,             0.24702,            0.052611,             0.06045,                   0,          0.00029341,          0.00029341,          0.00029341
                  48,            0.062828,            0.086856,                   0,             0.65473,             0.59259,               0.626,             0.24559,            0.052481,            0.060399,                   0,          0.00029174,          0.00029174,          0.00029174
                  49,            0.061071,            0.073798,                   0,             0.64829,             0.60393,             0.63373,             0.25012,            0.052118,            0.060372,                   0,          0.00029008,          0.00029008,          0.00029008
                  50,            0.060464,            0.074325,                   0,              0.6666,             0.57532,             0.63247,             0.24683,            0.052295,            0.059818,                   0,          0.00028841,          0.00028841,          0.00028841
                  51,            0.061323,            0.079812,                   0,             0.65576,             0.59544,             0.63503,             0.24952,            0.052446,            0.059562,                   0,          0.00028675,          0.00028675,          0.00028675
                  52,            0.060315,            0.081114,                   0,             0.67233,             0.60211,              0.6425,              0.2526,            0.052485,            0.059567,                   0,          0.00028508,          0.00028508,          0.00028508
                  53,            0.059183,            0.075682,                   0,             0.66502,             0.60684,             0.64308,             0.25145,             0.05206,             0.06032,                   0,          0.00028342,          0.00028342,          0.00028342
                  54,            0.061016,            0.082067,                   0,             0.67129,             0.60114,             0.63996,             0.24943,            0.052176,            0.060327,                   0,          0.00028175,          0.00028175,          0.00028175
                  55,            0.061088,            0.076921,                   0,             0.64562,             0.61254,             0.63374,             0.24582,            0.052541,             0.06025,                   0,          0.00028009,          0.00028009,          0.00028009
