                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.095908,               0.067312,               0.047078,                      0,                0.41107,                0.41415,                0.34549,                0.12654,                0.43536,                0.43132,                0.37583,                0.21898,               0.071787,               0.032102,               0.036071,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.068206,                 0.0358,               0.043427,                      0,                0.52397,                0.42085,                 0.4045,                0.11719,                0.61759,                0.44849,                0.48246,                0.27671,               0.065266,               0.033028,               0.039432,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.061308,               0.035012,               0.043476,                      0,                0.39942,                 0.3995,                0.32612,                0.10124,                0.47895,                0.42965,                0.38811,                0.16587,               0.067748,               0.038252,               0.040666,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.055953,               0.035277,               0.042246,                      0,                0.60837,                0.33762,                0.36236,                0.17174,                0.61741,                0.34059,                0.37316,                0.20356,               0.061297,               0.042591,               0.050608,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.050027,               0.033542,               0.043148,                      0,                0.72299,                0.59673,                0.64754,                0.31995,                0.72451,                0.59799,                0.65184,                0.36143,               0.047181,               0.031035,               0.037189,                      0,               0.009901,               0.009901,               0.009901
                      5,                0.04852,               0.033012,               0.041466,                      0,                0.79844,                 0.6139,                 0.6903,                0.36786,                0.79789,                0.61348,                0.69171,                0.39617,               0.042386,               0.029152,               0.037001,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.045362,               0.031262,               0.041452,                      0,                0.76227,                0.69054,                0.75171,                0.35671,                0.77558,                0.69933,                0.76434,                0.41728,               0.042657,               0.025468,               0.035591,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.045031,               0.031222,               0.040274,                      0,                0.78793,                0.67058,                 0.7408,                0.42371,                0.79659,                0.66499,                0.74099,                0.44867,               0.038782,               0.026656,               0.035392,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.043303,               0.031265,               0.041094,                      0,                0.81314,                0.73869,                0.79941,                0.43985,                0.80896,                0.73157,                0.79076,                0.46062,               0.037269,               0.023899,               0.031991,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.042701,                0.02981,               0.037497,                      0,                0.82295,                0.76968,                0.82854,                0.48244,                0.82438,                0.76858,                0.82792,                0.49109,                0.03442,               0.022332,               0.030309,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.041517,               0.029023,               0.038097,                      0,                0.82834,                0.76047,                0.82707,                0.50044,                0.81905,                0.76197,                0.82106,                0.49898,               0.034359,               0.022541,               0.030808,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.040496,               0.028919,               0.037963,                      0,                0.82555,                0.78141,                0.84848,                0.49063,                0.82972,                0.76926,                0.84218,                0.51517,                0.03458,               0.021736,                0.02978,                      0,                0.00967,                0.00967,                0.00967
                     12,               0.040073,               0.027976,               0.037601,                      0,                0.84004,                0.76717,                0.84379,                0.50318,                 0.8437,                0.75293,                0.83036,                0.50288,               0.034323,               0.022422,               0.030032,                      0,               0.009637,               0.009637,               0.009637
                     13,               0.039002,               0.028176,               0.037103,                      0,                0.83529,                0.76717,                0.84312,                0.50033,                0.84559,                0.76136,                0.84595,                0.57195,                0.03402,                0.02224,               0.029626,                      0,               0.009604,               0.009604,               0.009604
                     14,               0.038858,               0.028031,               0.037967,                      0,                0.82256,                0.74079,                0.80313,                0.48005,                0.82582,                0.74162,                0.79935,                0.50135,               0.035239,               0.024898,               0.032835,                      0,               0.009571,               0.009571,               0.009571
                     15,                0.03841,               0.026742,               0.037396,                      0,                0.85708,                0.77513,                0.85857,                0.54391,                0.86238,                0.77409,                0.85129,                0.54193,               0.031012,               0.021437,               0.028854,                      0,               0.009538,               0.009538,               0.009538
                     16,               0.037266,               0.026515,               0.034451,                      0,                0.81442,                0.74456,                0.80695,                0.49238,                0.81589,                0.74246,                0.80293,                0.51004,               0.034146,               0.024546,               0.032711,                      0,               0.009505,               0.009505,               0.009505
