                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.081621,               0.046792,               0.045978,                      0,                0.39327,                0.49691,                0.43715,                0.18286,                0.41308,                0.49585,                0.45737,                0.26616,               0.062136,               0.023084,               0.035262,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.059315,               0.027074,               0.039366,                      0,                0.41592,                0.61443,                0.42438,                0.20625,                0.42866,                0.59856,                0.44678,                 0.2599,               0.054896,               0.020774,               0.031122,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.053548,               0.025553,               0.036436,                      0,                0.57291,                0.56307,                0.56509,                0.26853,                0.57557,                0.56042,                0.56532,                 0.3495,               0.048986,               0.028493,               0.036044,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.047908,               0.028008,               0.037732,                      0,                0.76384,                0.70582,                0.76019,                0.42806,                0.76687,                0.70279,                0.75939,                0.45795,               0.038957,               0.024815,               0.034688,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.045111,               0.027229,               0.037779,                      0,                0.82612,                0.70921,                0.79272,                0.41319,                0.84179,                0.71132,                0.80326,                0.51413,               0.042441,                0.02299,               0.031584,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.041971,               0.026847,               0.037049,                      0,                0.78551,                0.67032,                0.74667,                0.45301,                0.78213,                0.66654,                0.73739,                0.45548,               0.037343,               0.025162,               0.035964,                      0,               0.009868,               0.009868,               0.009868
                      6,                 0.0403,               0.025872,               0.036579,                      0,                 0.8171,                0.63437,                0.70569,                0.38701,                0.81929,                0.63142,                0.70171,                 0.4459,               0.043327,               0.028156,               0.038309,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.038163,               0.024948,                0.03501,                      0,                0.83058,                 0.7702,                0.83394,                0.51537,                0.83283,                0.77513,                0.83906,                0.54052,               0.032072,               0.020926,               0.031127,                      0,               0.009802,               0.009802,               0.009802
                      8,                 0.0365,               0.024426,               0.035621,                      0,                0.81039,                0.77115,                0.83035,                0.53297,                0.81224,                0.76511,                0.82647,                 0.5299,               0.031597,                0.02046,               0.031171,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.036062,               0.024321,               0.033654,                      0,                 0.8273,                0.72394,                0.81103,                0.48895,                0.82341,                0.72054,                0.79806,                0.47296,                0.03474,               0.022501,               0.032006,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.035399,               0.023807,               0.033099,                      0,                0.84345,                0.77908,                0.84975,                0.53564,                0.84176,                0.77719,                0.85031,                0.52223,               0.030936,               0.020583,               0.029031,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.035037,                0.02337,               0.033143,                      0,                0.82595,                 0.7921,                 0.8512,                0.56621,                 0.8251,                0.78564,                0.84564,                 0.5322,               0.029094,               0.019863,               0.029885,                      0,                0.00967,                0.00967,                0.00967
                     12,               0.034148,               0.023014,               0.032614,                      0,                0.83312,                0.79373,                0.85443,                0.56602,                 0.8423,                0.78059,                0.84771,                0.54195,               0.028894,                0.02044,               0.029303,                      0,               0.009637,               0.009637,               0.009637
                     13,                0.03314,               0.023466,               0.032695,                      0,                0.84375,                 0.7787,                0.85265,                0.56176,                0.84376,                0.77228,                0.84304,                0.52787,               0.029227,               0.019843,               0.029115,                      0,               0.009604,               0.009604,               0.009604
                     14,               0.032505,               0.022876,               0.033089,                      0,                 0.8378,                0.78965,                0.85706,                0.55833,                 0.8374,                0.78927,                0.85432,                0.56923,               0.029874,               0.020715,               0.029072,                      0,               0.009571,               0.009571,               0.009571
                     15,                0.03254,               0.022413,                0.03227,                      0,                0.83353,                0.79607,                0.84875,                0.56735,                0.83535,                0.79131,                0.84831,                0.57082,               0.029028,               0.019436,               0.029148,                      0,               0.009538,               0.009538,               0.009538
                     16,               0.031611,               0.022081,               0.030932,                      0,                0.81155,                0.80514,                0.85188,                0.57701,                0.81736,                 0.7994,                0.85158,                0.57892,               0.028406,               0.019598,               0.029293,                      0,               0.009505,               0.009505,               0.009505
                     17,               0.030888,               0.022142,               0.031889,                      0,                0.83697,                0.79683,                0.85868,                0.58382,                0.84071,                0.79527,                0.85908,                0.58152,               0.028432,               0.019362,                0.02872,                      0,               0.009472,               0.009472,               0.009472
                     18,               0.031364,               0.021184,               0.031467,                      0,                0.84103,                0.81042,                0.87126,                0.59343,                 0.8402,                0.81012,                0.86685,                0.58428,               0.027435,               0.018454,               0.027578,                      0,               0.009439,               0.009439,               0.009439
                     19,               0.029944,               0.021285,               0.031098,                      0,                0.85058,                0.79872,                0.87487,                0.59508,                0.83798,                0.80325,                0.86823,                0.55749,               0.027311,                0.01876,               0.027717,                      0,               0.009406,               0.009406,               0.009406
