               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11439,            0.087351,                   0,           0.0040278,            0.067652,           0.0030472,          0.00066943,             0.10523,            0.088305,                   0,            0.068638,           0.0010703,           0.0010703
                   1,             0.10492,            0.084056,                   0,             0.12156,             0.15474,            0.059999,            0.013611,            0.094729,            0.084954,                   0,            0.036395,           0.0021605,           0.0021605
                   2,            0.096454,            0.078358,                   0,             0.15965,              0.2224,            0.093227,            0.024981,            0.085537,            0.092496,                   0,           0.0041417,           0.0032408,           0.0032408
                   3,            0.088561,            0.074517,                   0,             0.17592,              0.2535,             0.12093,            0.033239,            0.084514,            0.082779,                   0,           0.0032554,           0.0032554,           0.0032554
                   4,            0.080478,            0.068796,                   0,               0.301,             0.32659,             0.22171,            0.067579,            0.070052,            0.077952,                   0,           0.0032554,           0.0032554,           0.0032554
                   5,            0.076102,            0.069922,                   0,             0.26493,             0.33281,             0.22826,            0.070513,            0.074201,            0.076077,                   0,           0.0032406,           0.0032406,           0.0032406
                   6,            0.072301,            0.067243,                   0,             0.26225,             0.36405,             0.22482,            0.074851,            0.069164,            0.073671,                   0,           0.0032257,           0.0032257,           0.0032257
                   7,            0.069753,            0.063411,                   0,              0.3224,             0.38553,             0.27785,            0.094986,            0.067317,            0.071706,                   0,           0.0032109,           0.0032109,           0.0032109
                   8,            0.069147,            0.060755,                   0,             0.37404,             0.42768,             0.32942,             0.10888,            0.064957,            0.071151,                   0,            0.003196,            0.003196,            0.003196
                   9,            0.067629,             0.07042,                   0,             0.51956,             0.46034,             0.42111,             0.14806,            0.060268,             0.07064,                   0,           0.0031812,           0.0031812,           0.0031812
                  10,            0.065549,            0.071198,                   0,             0.49834,             0.43489,              0.4031,             0.12812,            0.063055,            0.069545,                   0,           0.0031663,           0.0031663,           0.0031663
                  11,            0.064783,            0.072309,                   0,               0.488,             0.42224,             0.40203,             0.12617,            0.062281,            0.069044,                   0,           0.0031515,           0.0031515,           0.0031515
                  12,            0.062881,            0.069726,                   0,             0.53119,             0.49922,             0.46794,             0.17413,             0.05893,            0.069098,                   0,           0.0031366,           0.0031366,           0.0031366
                  13,            0.062405,            0.061881,                   0,              0.5175,             0.45334,             0.44398,             0.16036,            0.058858,            0.069576,                   0,           0.0031218,           0.0031218,           0.0031218
                  14,            0.060976,            0.070847,                   0,             0.56868,             0.44012,             0.45779,             0.15743,            0.060008,            0.069692,                   0,           0.0031069,           0.0031069,           0.0031069
                  15,            0.060016,            0.060813,                   0,             0.55293,             0.47991,             0.47649,             0.17747,            0.058125,            0.069729,                   0,           0.0030921,           0.0030921,           0.0030921
                  16,             0.06059,            0.068482,                   0,             0.56105,             0.47667,             0.47357,             0.17222,            0.057678,            0.069356,                   0,           0.0030773,           0.0030773,           0.0030773
                  17,            0.059123,            0.065042,                   0,             0.55579,             0.49689,             0.47701,             0.16078,            0.059015,            0.068562,                   0,           0.0030624,           0.0030624,           0.0030624
                  18,            0.058623,            0.066368,                   0,             0.53241,             0.50311,             0.47603,             0.18193,            0.057384,            0.069677,                   0,           0.0030475,           0.0030475,           0.0030475
                  19,             0.05799,            0.063356,                   0,             0.56556,             0.49456,             0.48355,             0.17313,             0.05781,            0.068338,                   0,           0.0030327,           0.0030327,           0.0030327
                  20,            0.056572,            0.067286,                   0,             0.54928,             0.49922,             0.48798,             0.18333,            0.057018,            0.070023,                   0,           0.0030178,           0.0030178,           0.0030178
                  21,             0.05728,            0.064896,                   0,             0.56605,             0.50311,               0.497,             0.18596,            0.055995,            0.069768,                   0,            0.003003,            0.003003,            0.003003
                  22,            0.058583,            0.070633,                   0,             0.57676,             0.51244,             0.49688,             0.19599,             0.05583,            0.069844,                   0,           0.0029881,           0.0029881,           0.0029881
                  23,            0.054976,            0.064835,                   0,             0.58264,             0.49611,             0.48561,             0.18203,            0.056879,            0.069159,                   0,           0.0029733,           0.0029733,           0.0029733
                  24,            0.057474,            0.068846,                   0,             0.54382,             0.50233,             0.47481,             0.17535,            0.056867,            0.068764,                   0,           0.0029585,           0.0029585,           0.0029585
                  25,              0.0558,            0.060919,                   0,             0.56887,             0.51814,             0.48989,             0.18159,            0.057619,            0.069125,                   0,           0.0029436,           0.0029436,           0.0029436
                  26,             0.05499,            0.062138,                   0,             0.57704,             0.53499,             0.50302,             0.18777,            0.056451,             0.06888,                   0,           0.0029287,           0.0029287,           0.0029287
                  27,            0.053838,            0.060511,                   0,             0.58824,             0.51324,             0.50491,             0.19371,            0.055766,            0.069059,                   0,           0.0029139,           0.0029139,           0.0029139
                  28,            0.053113,            0.055755,                   0,             0.59073,             0.50389,             0.49433,             0.18319,            0.056413,              0.0701,                   0,            0.002899,            0.002899,            0.002899
                  29,            0.055137,            0.066745,                   0,              0.5944,             0.51737,             0.50638,             0.19418,            0.056099,            0.069419,                   0,           0.0028842,           0.0028842,           0.0028842
                  30,            0.053777,            0.059757,                   0,             0.61936,             0.51866,             0.51462,             0.20194,            0.055694,            0.068599,                   0,           0.0028693,           0.0028693,           0.0028693
                  31,            0.052893,            0.056033,                   0,             0.60577,             0.49108,             0.49823,              0.1818,              0.0577,            0.069865,                   0,           0.0028545,           0.0028545,           0.0028545
                  32,            0.053296,            0.065908,                   0,             0.59073,             0.52877,             0.51656,             0.20195,            0.055338,             0.06939,                   0,           0.0028396,           0.0028396,           0.0028396
                  33,            0.053234,            0.066645,                   0,             0.61828,             0.50389,             0.49864,             0.19124,            0.056123,            0.070126,                   0,           0.0028248,           0.0028248,           0.0028248
                  34,            0.051704,            0.069613,                   0,             0.57426,             0.52022,             0.50001,              0.1805,            0.056495,            0.070206,                   0,           0.0028099,           0.0028099,           0.0028099
                  35,            0.052299,            0.059706,                   0,             0.58863,             0.52177,             0.50445,             0.18537,            0.056773,            0.070062,                   0,           0.0027951,           0.0027951,           0.0027951
                  36,            0.051743,            0.062937,                   0,             0.61037,             0.50188,             0.49897,             0.18975,            0.056418,            0.070336,                   0,           0.0027802,           0.0027802,           0.0027802
                  37,            0.052249,            0.059079,                   0,             0.59529,               0.507,             0.50225,              0.1884,            0.056559,            0.070273,                   0,           0.0027654,           0.0027654,           0.0027654
                  38,            0.051671,            0.060887,                   0,             0.61382,             0.49689,              0.5067,             0.19637,            0.055698,             0.07057,                   0,           0.0027505,           0.0027505,           0.0027505
                  39,            0.050426,            0.059396,                   0,             0.61562,               0.479,             0.49618,             0.19404,            0.055352,            0.073397,                   0,           0.0027357,           0.0027357,           0.0027357
                  40,            0.050698,            0.060003,                   0,             0.62586,              0.4891,             0.49338,             0.18897,            0.055943,             0.07195,                   0,           0.0027208,           0.0027208,           0.0027208
                  41,            0.051221,            0.053996,                   0,             0.62707,             0.50209,             0.50998,             0.19894,            0.055536,             0.07226,                   0,            0.002706,            0.002706,            0.002706
                  42,            0.050359,            0.063378,                   0,             0.59769,             0.49456,             0.49401,             0.18135,            0.057828,            0.071999,                   0,           0.0026911,           0.0026911,           0.0026911
                  43,             0.05078,            0.058375,                   0,             0.60099,             0.49067,              0.4966,             0.18085,            0.057059,            0.072438,                   0,           0.0026763,           0.0026763,           0.0026763
                  44,            0.050886,             0.05972,                   0,             0.59042,             0.52566,              0.5175,             0.19313,            0.056215,            0.070839,                   0,           0.0026615,           0.0026615,           0.0026615
                  45,            0.049021,            0.057229,                   0,             0.55008,             0.53526,             0.49153,             0.18802,            0.056808,            0.071843,                   0,           0.0026466,           0.0026466,           0.0026466
                  46,            0.048159,            0.056197,                   0,              0.5841,             0.52748,             0.51383,             0.19506,            0.056762,            0.072156,                   0,           0.0026317,           0.0026317,           0.0026317
                  47,            0.049882,            0.060622,                   0,             0.56641,             0.50467,             0.48686,             0.18651,            0.056904,            0.072208,                   0,           0.0026169,           0.0026169,           0.0026169
