               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1155,             0.08725,                   0,           0.0021461,            0.036547,           0.0012564,           0.0002847,             0.10832,             0.08663,                   0,            0.067924,          0.00035676,          0.00035676
                   1,             0.10968,            0.085005,                   0,           0.0052055,            0.088647,           0.0049337,           0.0011793,             0.10296,            0.088446,                   0,            0.034954,          0.00072017,          0.00072017
                   2,             0.10517,            0.086401,                   0,            0.099012,             0.12986,            0.052436,            0.012696,            0.095386,            0.086844,                   0,           0.0019812,           0.0010803,           0.0010803
                   3,            0.099639,            0.082837,                   0,              0.1359,              0.1874,            0.078847,            0.018166,             0.08898,            0.088873,                   0,           0.0010852,           0.0010852,           0.0010852
                   4,             0.09161,             0.07584,                   0,              0.1368,             0.22628,            0.085662,            0.022477,            0.082433,            0.089876,                   0,           0.0010852,           0.0010852,           0.0010852
                   5,            0.085166,            0.073871,                   0,             0.26363,             0.35244,             0.18399,            0.049357,            0.079102,            0.084972,                   0,           0.0010802,           0.0010802,           0.0010802
                   6,            0.080141,            0.071279,                   0,             0.34512,             0.36236,             0.23527,            0.067949,            0.071607,              0.0798,                   0,           0.0010753,           0.0010753,           0.0010753
                   7,            0.075649,            0.067836,                   0,             0.32686,             0.34759,             0.24692,            0.078754,            0.069638,            0.073946,                   0,           0.0010703,           0.0010703,           0.0010703
                   8,            0.073259,             0.06493,                   0,             0.33488,             0.37014,              0.2709,            0.089747,            0.066729,            0.074323,                   0,           0.0010654,           0.0010654,           0.0010654
                   9,            0.071442,            0.074197,                   0,             0.41482,             0.37869,             0.32773,             0.11101,            0.064812,            0.073164,                   0,           0.0010604,           0.0010604,           0.0010604
                  10,            0.068598,            0.074481,                   0,             0.43556,             0.40124,             0.34585,             0.11421,             0.06442,            0.074278,                   0,           0.0010554,           0.0010554,           0.0010554
                  11,            0.068396,            0.077318,                   0,             0.46862,              0.4168,             0.36988,             0.12106,            0.063541,            0.072156,                   0,           0.0010505,           0.0010505,           0.0010505
                  12,            0.066962,            0.072451,                   0,             0.50142,             0.42691,             0.39213,             0.13454,            0.062272,            0.071765,                   0,           0.0010455,           0.0010455,           0.0010455
                  13,            0.065656,            0.066323,                   0,             0.48923,             0.43235,             0.40376,             0.13706,            0.061279,            0.071828,                   0,           0.0010406,           0.0010406,           0.0010406
                  14,            0.063942,             0.07513,                   0,             0.53061,             0.43779,             0.42944,             0.14939,            0.061172,            0.071313,                   0,           0.0010357,           0.0010357,           0.0010357
                  15,            0.063417,            0.063818,                   0,             0.52804,             0.40747,             0.40394,             0.14374,            0.060547,            0.070779,                   0,           0.0010307,           0.0010307,           0.0010307
                  16,            0.064423,            0.071626,                   0,             0.52925,             0.41058,             0.40491,             0.14168,            0.060741,             0.07095,                   0,           0.0010257,           0.0010257,           0.0010257
                  17,            0.062889,            0.068304,                   0,             0.58591,             0.44479,             0.45662,             0.16382,            0.059382,            0.070868,                   0,           0.0010208,           0.0010208,           0.0010208
                  18,            0.061458,            0.070093,                   0,             0.56678,             0.44762,             0.45751,             0.16099,            0.058887,            0.070707,                   0,           0.0010158,           0.0010158,           0.0010158
                  19,            0.061688,            0.067007,                   0,             0.57921,             0.45179,             0.46198,             0.17142,            0.058525,            0.070116,                   0,           0.0010109,           0.0010109,           0.0010109
                  20,            0.059745,            0.071109,                   0,             0.57691,             0.46112,             0.46796,             0.16708,            0.058701,            0.069587,                   0,            0.001006,            0.001006,            0.001006
                  21,            0.061535,            0.068474,                   0,              0.5619,             0.48172,             0.47268,             0.18043,            0.057959,            0.069433,                   0,            0.001001,            0.001001,            0.001001
                  22,            0.061882,            0.074095,                   0,              0.6016,             0.45956,             0.47614,             0.16792,            0.058514,             0.06931,                   0,          0.00099605,          0.00099605,          0.00099605
                  23,             0.05865,            0.068812,                   0,              0.5635,             0.45412,             0.46892,              0.1784,            0.057805,             0.06946,                   0,           0.0009911,           0.0009911,           0.0009911
                  24,             0.06107,            0.072922,                   0,             0.55237,             0.47667,             0.46836,             0.17134,            0.057733,            0.069452,                   0,          0.00098615,          0.00098615,          0.00098615
                  25,            0.059915,            0.065587,                   0,             0.56756,             0.48212,             0.47781,             0.18773,            0.057046,            0.069761,                   0,           0.0009812,           0.0009812,           0.0009812
                  26,            0.058882,             0.06667,                   0,             0.51117,             0.50778,             0.48391,             0.18049,            0.057346,            0.069584,                   0,          0.00097625,          0.00097625,          0.00097625
                  27,            0.057858,            0.064182,                   0,              0.5662,              0.4557,             0.47119,             0.17679,            0.057528,            0.069438,                   0,           0.0009713,           0.0009713,           0.0009713
                  28,            0.058313,            0.060123,                   0,             0.60137,             0.46656,             0.49358,             0.18229,            0.056961,            0.069199,                   0,          0.00096635,          0.00096635,          0.00096635
                  29,            0.059142,            0.070627,                   0,             0.52359,             0.48523,             0.47436,             0.18086,            0.056874,            0.068996,                   0,           0.0009614,           0.0009614,           0.0009614
                  30,            0.057436,            0.064289,                   0,             0.61705,             0.45334,             0.49242,             0.18797,            0.056624,            0.068867,                   0,          0.00095645,          0.00095645,          0.00095645
                  31,            0.057098,            0.060452,                   0,             0.61463,             0.44635,             0.49493,             0.17924,            0.057262,            0.069478,                   0,           0.0009515,           0.0009515,           0.0009515
                  32,            0.057417,            0.070341,                   0,             0.58908,             0.49941,             0.51142,             0.19243,             0.05643,            0.069095,                   0,          0.00094655,          0.00094655,          0.00094655
                  33,            0.057817,             0.07151,                   0,             0.58269,             0.49145,             0.49348,             0.19128,            0.055996,            0.069156,                   0,           0.0009416,           0.0009416,           0.0009416
                  34,            0.055479,            0.075048,                   0,             0.59878,              0.4909,             0.50399,             0.19267,            0.056052,            0.068886,                   0,          0.00093665,          0.00093665,          0.00093665
                  35,            0.056545,            0.064958,                   0,             0.57806,             0.50283,             0.50379,             0.19115,            0.055816,            0.069076,                   0,           0.0009317,           0.0009317,           0.0009317
                  36,            0.056579,             0.06774,                   0,             0.59715,             0.48445,             0.50377,              0.1954,            0.055349,            0.069185,                   0,          0.00092675,          0.00092675,          0.00092675
                  37,            0.056627,            0.063817,                   0,             0.60273,             0.48911,               0.511,             0.19502,            0.055923,            0.068991,                   0,           0.0009218,           0.0009218,           0.0009218
                  38,            0.056343,            0.066217,                   0,             0.59798,             0.49689,             0.51587,             0.19643,            0.055619,            0.068662,                   0,          0.00091685,          0.00091685,          0.00091685
                  39,             0.05547,            0.064301,                   0,             0.58103,             0.49929,             0.50734,             0.19929,              0.0553,            0.068685,                   0,           0.0009119,           0.0009119,           0.0009119
                  40,            0.055773,            0.065277,                   0,             0.60593,             0.48989,             0.51416,             0.19334,            0.055989,            0.068554,                   0,          0.00090695,          0.00090695,          0.00090695
