                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.081211,                0.04563,               0.045893,               0.065946,                  0.805,               0.080822,                0.06663,               0.027679,                0.78021,               0.082064,               0.067828,               0.036604,               0.057685,               0.021765,               0.032051,                0.06122,                0.07011,              0.0033211,              0.0033211
                      1,               0.061399,               0.026272,               0.036186,               0.054646,                0.57099,                 0.1535,               0.075939,               0.033745,                 0.5725,                0.16942,               0.087598,               0.042727,               0.060251,                0.02433,               0.031113,               0.054565,               0.040088,              0.0066325,              0.0066325
                      2,               0.057421,               0.025078,                0.03291,               0.048226,                0.37516,                0.21005,                0.16248,               0.069316,                0.41487,                0.20896,                0.17148,                0.11041,               0.051628,                0.02674,               0.032464,               0.047916,               0.010044,              0.0099218,              0.0099218
                      3,               0.052244,               0.026841,               0.033364,                0.04093,                0.74702,                0.22717,                0.25235,                0.12338,                  0.752,                0.22624,                0.26309,                0.16887,               0.042529,               0.021753,               0.030335,               0.040178,               0.009901,               0.009901,               0.009901
                      4,               0.047304,               0.025827,               0.033463,               0.035454,                0.40277,                0.37211,                0.31952,                0.15321,                0.40881,                0.37361,                 0.3227,                 0.2087,               0.042027,               0.021352,               0.028502,               0.035137,               0.009901,               0.009901,               0.009901
                      5,               0.044676,               0.025031,               0.032404,                0.03243,                0.59595,                0.39261,                0.41263,                0.21837,                0.59551,                0.39315,                0.41307,                0.25954,               0.039015,               0.021793,               0.028966,               0.032566,               0.009868,               0.009868,               0.009868
                      6,               0.042534,               0.024862,               0.032562,               0.028666,                0.49982,                0.48551,                  0.451,                0.25363,                0.50303,                 0.4876,                0.45177,                0.29293,               0.038482,               0.021368,               0.028998,               0.031117,               0.009835,               0.009835,               0.009835
                      7,               0.041949,               0.023984,                0.03216,                0.02696,                0.59913,                0.49302,                0.49572,                0.28056,                0.59907,                0.49072,                0.49638,                 0.2949,               0.037253,                0.02016,               0.027777,               0.026329,               0.009802,               0.009802,               0.009802
                      8,               0.040879,               0.023682,               0.032242,               0.024277,                0.62456,                  0.508,                0.53482,                0.27516,                 0.6773,                0.48494,                0.53742,                0.30485,               0.038276,               0.022617,               0.029299,                 0.0261,               0.009769,               0.009769,               0.009769
                      9,               0.039227,               0.023311,                0.02985,               0.022904,                0.60384,                0.53697,                0.54592,                0.30149,                0.59838,                0.52777,                0.53515,                0.32599,               0.035652,               0.020316,               0.027651,               0.023119,               0.009736,               0.009736,               0.009736
                     10,               0.038682,               0.023028,                0.03075,               0.020949,                0.64642,                0.52969,                 0.5767,                0.34058,                0.64467,                 0.5253,                 0.5706,                0.35521,               0.035959,               0.020521,               0.028612,               0.024026,               0.009703,               0.009703,               0.009703
                     11,               0.037632,               0.022969,               0.030108,               0.020156,                0.70042,                0.53477,                0.61022,                0.35589,                0.71059,                0.52838,                0.60787,                0.40513,               0.033964,               0.019342,               0.026726,               0.021654,                0.00967,                0.00967,                0.00967
                     12,                0.03752,               0.022567,               0.029965,               0.019665,                0.67742,                0.58168,                0.62216,                0.38949,                0.66443,                0.58566,                 0.6167,                0.41069,                0.03214,               0.019076,               0.028037,                0.02207,               0.009637,               0.009637,               0.009637
                     13,               0.035964,                0.02253,               0.030066,               0.017856,                0.75666,                0.56025,                0.64109,                0.39377,                0.75259,                0.55954,                0.63979,                0.41431,               0.032131,               0.020298,               0.027558,               0.018143,               0.009604,               0.009604,               0.009604
                     14,                0.03609,               0.022253,               0.029817,               0.017439,                0.71183,                 0.5863,                 0.6435,                0.40296,                0.70568,                0.57462,                0.62973,                0.40491,               0.031624,                0.02028,               0.027893,               0.019893,               0.009571,               0.009571,               0.009571
                     15,               0.034696,               0.022203,               0.028866,               0.016499,                0.68768,                0.65596,                0.67526,                0.42721,                 0.6841,                0.64882,                 0.6699,                0.44332,               0.031664,               0.019365,               0.026383,               0.018648,               0.009538,               0.009538,               0.009538
