               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11624,            0.090244,                   0,           0.0020188,            0.051374,           0.0011236,          0.00025491,             0.10594,             0.06423,                   0,            0.067924,          0.00035676,          0.00035676
                   1,             0.11063,            0.091931,                   0,           0.0053991,              0.1374,           0.0054753,           0.0013543,            0.099834,            0.065285,                   0,            0.034954,          0.00072017,          0.00072017
                   2,             0.10674,            0.091016,                   0,            0.082937,             0.12784,             0.03909,           0.0093898,            0.092234,            0.064464,                   0,           0.0019812,           0.0010803,           0.0010803
                   3,             0.10028,            0.079887,                   0,            0.099033,             0.24216,              0.0621,             0.01498,             0.08507,            0.075123,                   0,           0.0010852,           0.0010852,           0.0010852
                   4,            0.091696,            0.077214,                   0,             0.12742,             0.27599,             0.08885,            0.023346,            0.075903,            0.070306,                   0,           0.0010852,           0.0010852,           0.0010852
                   5,            0.085414,            0.075143,                   0,              0.2674,             0.36679,             0.21183,            0.057998,            0.071072,            0.066721,                   0,           0.0010802,           0.0010802,           0.0010802
                   6,            0.080323,            0.080246,                   0,             0.35266,             0.36559,             0.28127,            0.085559,            0.067441,            0.062284,                   0,           0.0010753,           0.0010753,           0.0010753
                   7,            0.076503,            0.072256,                   0,              0.2758,             0.36559,             0.24381,            0.075575,            0.062292,            0.057529,                   0,           0.0010703,           0.0010703,           0.0010703
                   8,            0.073287,            0.074295,                   0,             0.39987,             0.41338,             0.33823,             0.10795,            0.060488,            0.056219,                   0,           0.0010654,           0.0010654,           0.0010654
                   9,            0.072912,            0.079035,                   0,             0.42595,             0.49343,             0.39536,             0.12468,            0.062179,             0.05537,                   0,           0.0010604,           0.0010604,           0.0010604
                  10,            0.070546,            0.076967,                   0,             0.49768,             0.48865,             0.45854,             0.15682,            0.059409,            0.053722,                   0,           0.0010554,           0.0010554,           0.0010554
                  11,            0.069378,            0.083791,                   0,             0.55643,             0.47909,             0.48136,             0.17233,            0.058119,            0.052516,                   0,           0.0010505,           0.0010505,           0.0010505
                  12,            0.068095,             0.07687,                   0,             0.53264,             0.49701,             0.47992,             0.17019,            0.055902,            0.052626,                   0,           0.0010455,           0.0010455,           0.0010455
                  13,            0.065157,            0.076037,                   0,              0.5844,             0.50179,             0.51222,             0.18557,            0.055564,            0.051074,                   0,           0.0010406,           0.0010406,           0.0010406
                  14,            0.065855,            0.074866,                   0,             0.58002,              0.5082,             0.52408,             0.17641,            0.056022,            0.050524,                   0,           0.0010357,           0.0010357,           0.0010357
                  15,            0.066695,             0.07341,                   0,             0.58285,             0.52091,             0.52883,             0.19609,            0.053718,            0.050274,                   0,           0.0010307,           0.0010307,           0.0010307
                  16,            0.064315,            0.067027,                   0,             0.56287,             0.51852,             0.51417,             0.18711,            0.054535,            0.049768,                   0,           0.0010257,           0.0010257,           0.0010257
                  17,            0.063421,            0.071287,                   0,             0.59358,             0.53524,             0.54284,             0.19582,            0.053214,            0.049893,                   0,           0.0010208,           0.0010208,           0.0010208
                  18,            0.063513,            0.079945,                   0,             0.60224,             0.54361,             0.54692,             0.20226,             0.05369,            0.050076,                   0,           0.0010158,           0.0010158,           0.0010158
                  19,            0.063314,             0.07165,                   0,             0.57642,             0.55078,             0.55136,             0.20377,            0.053674,             0.04877,                   0,           0.0010109,           0.0010109,           0.0010109
                  20,            0.061552,             0.07437,                   0,             0.58556,             0.55197,             0.55456,             0.20593,            0.052735,            0.048979,                   0,            0.001006,            0.001006,            0.001006
                  21,            0.062129,            0.066571,                   0,             0.59625,              0.5687,             0.56276,             0.21715,            0.052768,            0.048465,                   0,            0.001001,            0.001001,            0.001001
                  22,            0.061908,            0.072899,                   0,              0.5882,             0.54719,             0.54402,             0.20722,            0.052642,            0.048565,                   0,          0.00099605,          0.00099605,          0.00099605
                  23,            0.061203,            0.072856,                   0,             0.62199,             0.52688,             0.56185,             0.21363,             0.05216,            0.048409,                   0,           0.0009911,           0.0009911,           0.0009911
                  24,            0.061189,            0.076962,                   0,             0.62406,             0.52808,             0.57025,             0.21968,            0.052175,            0.048146,                   0,          0.00098615,          0.00098615,          0.00098615
                  25,             0.06092,            0.075211,                   0,             0.61929,             0.52927,             0.56493,             0.21193,            0.052371,            0.049006,                   0,           0.0009812,           0.0009812,           0.0009812
                  26,            0.060297,             0.08419,                   0,             0.59422,             0.56631,             0.57572,             0.22516,            0.052338,            0.048148,                   0,          0.00097625,          0.00097625,          0.00097625
                  27,            0.060646,            0.073512,                   0,              0.5994,             0.55596,             0.56218,             0.21635,            0.052719,            0.048221,                   0,           0.0009713,           0.0009713,           0.0009713
