                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.098239,                0.07706,               0.044538,               0.073961,                0.22331,                0.10393,               0.037284,                0.01342,                0.22542,                0.10768,               0.041005,               0.023063,               0.069057,               0.033214,               0.035194,               0.066989,                0.07011,              0.0033211,              0.0033211
                      1,               0.070884,               0.041636,               0.041191,               0.060793,                0.40813,                0.10362,               0.044933,               0.016802,                0.41082,                 0.1063,               0.049051,               0.026964,               0.065774,               0.035516,               0.036627,               0.061817,               0.040088,              0.0066325,              0.0066325
                      2,               0.067081,               0.039961,               0.039895,               0.058445,                0.49124,                0.10489,                0.05621,                0.02078,                0.49641,                0.10484,               0.062043,               0.035709,               0.062572,               0.030654,               0.035197,               0.058987,               0.010044,              0.0099218,              0.0099218
                      3,               0.061203,               0.039119,               0.040708,               0.055707,                0.68236,                0.13588,                0.10527,               0.044299,                0.68955,                0.13776,                0.11291,               0.062065,               0.052717,               0.029792,               0.034723,               0.056143,               0.009901,               0.009901,               0.009901
                      4,               0.057399,               0.037671,               0.040675,               0.052318,                0.59734,                0.16583,                0.12711,               0.053705,                0.60037,                0.17322,                0.13231,               0.078849,               0.052641,               0.029242,               0.033987,               0.053653,               0.009901,               0.009901,               0.009901
                      5,               0.054779,               0.036331,               0.039819,               0.049745,                0.64513,                0.16046,                0.15518,                0.07265,                0.64588,                0.16148,                0.15791,               0.088398,               0.047571,               0.028526,               0.034166,               0.051027,               0.009868,               0.009868,               0.009868
                      6,               0.052337,               0.035349,               0.039328,               0.047469,                0.70842,                0.18732,                0.19215,               0.085791,                0.71624,                0.19089,                0.20005,                0.11701,               0.047579,               0.025705,               0.032109,               0.047787,               0.009835,               0.009835,               0.009835
                      7,               0.051006,               0.033958,               0.038363,               0.044345,                0.81331,                0.18703,                0.21883,                0.10666,                0.80925,                0.18589,                0.21628,                0.12222,               0.043977,               0.025632,               0.033113,               0.044327,               0.009802,               0.009802,               0.009802
                      8,               0.049824,                0.03305,               0.038929,                0.04202,                0.81925,                0.19872,                0.23207,                0.10996,                0.81741,                0.19853,                 0.2315,                0.12508,               0.044327,               0.024794,               0.031753,               0.041985,               0.009769,               0.009769,               0.009769
                      9,               0.048569,               0.032851,               0.037095,                0.04035,                0.70715,                0.20156,                0.23323,                0.11552,                0.70749,                0.19991,                 0.2309,                0.12881,               0.044963,               0.027113,               0.033398,               0.040996,               0.009736,               0.009736,               0.009736
