               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.058001,            0.079287,                   0,             0.63112,             0.53314,             0.55535,              0.2073,            0.054709,            0.051272,                   0,          0.00091685,          0.00091685,          0.00091685
                  39,            0.056353,             0.06916,                   0,             0.63274,             0.52924,             0.55802,             0.21448,            0.053831,            0.050861,                   0,           0.0009119,           0.0009119,           0.0009119
                  40,             0.05708,            0.069665,                   0,             0.62752,             0.53314,              0.5521,             0.20907,            0.054479,            0.051503,                   0,          0.00090695,          0.00090695,          0.00090695
                  41,            0.058963,            0.068438,                   0,             0.61919,             0.52827,             0.55025,             0.20707,            0.054434,            0.051571,                   0,            0.000902,            0.000902,            0.000902
                  42,            0.057028,            0.072321,                   0,             0.62829,             0.53704,             0.56186,             0.21171,            0.053779,            0.051192,                   0,          0.00089705,          0.00089705,          0.00089705
                  43,            0.055852,            0.065752,                   0,             0.59619,             0.51948,             0.54043,             0.20183,            0.054796,            0.051257,                   0,           0.0008921,           0.0008921,           0.0008921
                  44,            0.056162,            0.068862,                   0,             0.64272,             0.52075,             0.55587,             0.21112,            0.053809,            0.050906,                   0,          0.00088715,          0.00088715,          0.00088715
                  45,            0.054725,            0.062697,                   0,             0.62933,             0.52437,             0.55337,             0.20906,            0.054091,            0.051509,                   0,           0.0008822,           0.0008822,           0.0008822
                  46,            0.055477,            0.071272,                   0,              0.6192,             0.53411,             0.55555,             0.20129,            0.054557,            0.051562,                   0,          0.00087725,          0.00087725,          0.00087725
                  47,             0.05739,            0.074601,                   0,             0.62345,             0.52339,             0.54464,             0.20615,            0.053972,            0.051625,                   0,           0.0008723,           0.0008723,           0.0008723
